Date,portfolio_value,daily_return,reward,cash,shares,price
2025-08-14,130661.4942979535,9.303533506636074e-05,9.303533506636074e-05,0.0,202.59166109762114,644.9500122070312
2025-08-15,130355.5789112619,-0.0023412818622295033,-0.0023412818622295033,0.0,202.59166109762114,643.4400024414062
2025-08-18,130327.21311105695,-0.00021760326977841475,-0.00021760326977841475,0.0,202.59166109762114,643.2999877929688
2025-08-19,129620.17019226044,-0.005425136484688017,-0.005425136484688017,0.0,202.59166109762114,639.8099975585938
2025-08-20,129275.76189535174,-0.002657057897685645,-0.002657057897685645,0.0,202.59166109762114,638.1099853515625
2025-08-21,128757.12773755039,-0.004011843753210173,-0.004011843753210173,0.0,202.59166109762114,635.5499877929688
2025-08-22,130734.42432829735,0.015356793254796323,0.015356793254796323,0.0,202.59166109762114,645.3099975585938
2025-08-25,130159.05857008608,-0.0044010272058598665,-0.0044010272058598665,0.0,202.59166109762114,642.469970703125
2025-08-26,130704.03063304724,0.004186969919329176,0.004186969919329176,0.0,202.59166109762114,645.1599731445312
2025-08-27,131001.84680477185,0.002278553846290577,0.002278553846290577,0.0,202.59166109762114,646.6300048828125
2025-08-28,131465.77725720848,0.0035414039095800877,0.0035414039095800877,0.0,202.59166109762114,648.9199829101562
2025-08-29,130681.74851797777,-0.005963747794962493,-0.005963747794962493,0.0,202.59166109762114,645.0499877929688
2025-09-02,129713.36680784226,-0.007410229210411043,-0.007410229210411043,0.0,202.59166109762114,640.27001953125
2025-09-03,130416.35393654845,0.005419542688669783,0.005419542688669783,0.0,202.59166109762114,643.739990234375
2025-09-04,131506.29806247074,0.008357419089116585,0.008357419089116585,0.0,202.59166109762114,649.1199951171875
2025-09-05,131125.4247503901,-0.0028962362844378617,-0.0028962362844378617,0.0,202.59166109762114,647.239990234375
2025-09-08,131447.55093222935,0.002456626412859565,0.002456626412859565,0.0,202.59166109762114,648.8300170898438
2025-09-09,131751.43842387578,0.002311853583358904,0.002311853583358904,0.0,202.59166109762114,650.3300170898438
2025-09-10,132132.3117359564,0.002890847467298748,0.002890847467298748,0.0,202.59166109762114,652.2100219726562
2025-09-11,133230.35507684568,0.008310180352278413,0.008310180352278413,0.0,202.59166109762114,657.6300048828125
2025-09-12,133185.7784814931,-0.00033458287585342705,-0.00033458287585342705,0.0,202.59166109762114,657.4099731445312
2025-09-15,133894.84929533477,0.005323922883704964,0.005323922883704964,0.0,202.59166109762114,660.9099731445312
2025-09-16,133710.49632442996,-0.001376848862185765,-0.001376848862185765,0.0,202.59166109762114,660.0
2025-09-17,133544.36967850427,-0.001242435339725345,-0.001242435339725345,0.0,202.59166109762114,659.1799926757812
2025-09-18,134168.35545694476,0.004672497836806423,0.004672497836806423,0.0,202.59166109762114,662.260009765625
2025-09-19,134460.0879435339,0.0021743762573191907,0.0021743762573191907,0.0,202.59166109762114,663.7000122070312
2025-09-22,135096.2287270317,0.004731075170536458,0.004731075170536458,0.0,202.59166109762114,666.8400268554688
2025-09-23,134360.82000803025,-0.005443591771072917,-0.005443591771072917,0.0,202.59166109762114,663.2100219726562
2025-09-24,133933.34220555186,-0.0031815658943793244,-0.0031815658943793244,0.0,202.59166109762114,661.0999755859375
2025-09-25,133315.44011224684,-0.004613504621998495,-0.004613504621998495,0.0,202.59166109762114,658.0499877929688
2025-09-26,134079.21463145327,0.005729077731456771,0.005729077731456771,0.0,202.59166109762114,661.8200073242188
2025-09-29,134456.03215344355,0.0028104096748033927,0.0028104096748033927,0.0,202.59166109762114,663.6799926757812
2025-09-30,134962.5113061876,0.003766875644270471,0.003766875644270471,0.0,202.59166109762114,666.1799926757812
2025-10-01,135422.39833374758,0.003407516821590828,0.003407516821590828,0.0,202.59166109762114,668.4500122070312
2025-10-02,135578.38550444745,0.001151856506893624,0.001151856506893624,0.0,202.59166109762114,669.219970703125
2025-10-03,135576.36997461598,-1.4866158967483945e-05,-1.4866158967483945e-05,0.0,202.59166109762114,669.2100219726562
2025-10-06,136062.58254212205,0.00358626335545863,0.00358626335545863,0.0,202.59166109762114,671.6099853515625
2025-10-07,135558.13128442317,-0.003707494362329268,-0.003707494362329268,0.0,202.59166109762114,669.1199951171875
2025-10-08,136366.47003376848,0.005963041402874443,0.005963041402874443,0.0,202.59166109762114,673.1099853515625
2025-10-09,135971.4138215854,-0.0028970186885768925,-0.0028970186885768925,0.0,202.59166109762114,671.1599731445312
2025-10-10,132296.41048683695,-0.027027764376787243,-0.027027764376787243,0.0,202.59166109762114,653.02001953125
2025-10-13,134326.3705226898,0.015344029580113433,0.015344029580113433,0.0,202.59166109762114,663.0399780273438
2025-10-14,134162.27177180926,-0.0012216421112399686,-0.0012216421112399686,0.0,202.59166109762114,662.22998046875
2025-10-15,134757.89175004483,0.004439548990707557,0.004439548990707557,0.0,202.59166109762114,665.1699829101562
2025-10-16,133840.1579551837,-0.006810241559458195,-0.006810241559458195,0.0,202.59166109762114,660.6400146484375
2025-10-17,134599.8766842998,0.005676313751590701,0.005676313751590701,0.0,202.59166109762114,664.3900146484375
2025-10-20,135999.77962179034,0.01040047711762756,0.01040047711762756,0.0,202.59166109762114,671.2999877929688
2025-10-21,135997.75172674516,-1.4911017141462828e-05,-1.4911017141462828e-05,0.0,202.59166109762114,671.2899780273438
2025-10-22,135290.70880794866,-0.005198930936866799,-0.005198930936866799,0.0,202.59166109762114,667.7999877929688
2025-10-23,136092.97623737218,0.005929952148911968,0.005929952148911968,0.0,202.59166109762114,671.760009765625
2025-10-24,137205.2024783639,0.0081725469729738,0.0081725469729738,0.0,202.59166109762114,677.25
2025-10-27,138823.90787209972,0.011797696913067639,0.011797696913067639,0.0,202.59166109762114,685.239990234375
2025-10-28,139192.62617912304,0.002656014462314517,0.002656014462314517,0.0,202.59166109762114,687.0599975585938
2025-10-29,139259.48488954507,0.00048033227231445797,0.00048033227231445797,0.0,202.59166109762114,687.3900146484375
2025-10-30,137727.89242625562,-0.010998119550020181,-0.010998119550020181,0.0,202.59166109762114,679.8300170898438
2025-10-31,138179.66787363493,0.003280203010593511,0.003280203010593511,0.0,202.59166109762114,682.0599975585938
2025-11-03,138438.99113514245,0.0018767107020743136,0.0018767107020743136,0.0,202.59166109762114,683.3400268554688
2025-11-04,136797.9912611235,-0.011853596017736242,-0.011853596017736242,0.0,202.59166109762114,675.239990234375
2025-11-05,137272.06118878597,0.0034654743340313287,0.0034654743340313287,0.0,202.59166109762114,677.5800170898438
2025-11-06,135799.2158557379,-0.01072938892512531,-0.01072938892512531,0.0,202.59166109762114,670.3099975585938
2025-11-07,135932.92091136827,0.000984578996188203,0.000984578996188203,0.0,202.59166109762114,670.969970703125
2025-11-10,138054.0620329715,0.0156043223921177,0.0156043223921177,0.0,202.59166109762114,681.4400024414062
2025-11-11,138370.10452967524,0.002289266190720699,0.002289266190720699,0.0,202.59166109762114,683.0
2025-11-12,138447.09035010944,0.000556376109535215,0.000556376109535215,0.0,202.59166109762114,683.3800048828125
2025-11-13,136149.6954725684,-0.01659402788264692,-0.01659402788264692,0.0,202.59166109762114,672.0399780273438
2025-11-14,136127.41335749894,-0.0001636589416679249,-0.0001636589416679249,0.0,202.59166109762114,671.9299926757812
2025-11-17,134859.18758059363,-0.0093164612889153,-0.0093164612889153,0.0,202.59166109762114,665.6699829101562
2025-11-18,133726.7071195776,-0.00839750321304027,-0.00839750321304027,0.0,202.59166109762114,660.0800170898438
2025-11-19,134243.31338233378,0.003863149507556821,0.003863149507556821,0.0,202.59166109762114,662.6300048828125
2025-11-20,132197.1425513333,-0.015242255122032495,-0.015242255122032495,0.0,202.59166109762114,652.530029296875
2025-11-21,133513.98834846783,0.009961227389035217,0.009961227389035217,0.0,202.59166109762114,659.030029296875
2025-11-24,135479.1175689438,0.014718526835907512,0.014718526835907512,0.0,202.59166109762114,668.72998046875
2025-11-25,136753.4270309846,0.009405947461920297,0.009405947461920297,0.0,202.59166109762114,675.02001953125
2025-11-26,137697.4987310055,0.006903459171132845,0.006903459171132845,0.0,202.59166109762114,679.6799926757812
2025-11-28,138449.1182451546,0.0054584834225448915,0.0054584834225448915,0.0,202.59166109762114,683.3900146484375
2025-12-01,137817.0332517471,-0.004565467815318506,-0.004565467815318506,0.0,202.59166109762114,680.27001953125
2025-12-02,138072.3007231643,0.0018522200441719826,0.0018522200441719826,0.0,202.59166109762114,681.530029296875
2025-12-03,138550.41407570342,0.0034627752998606497,0.0034627752998606497,0.0,202.59166109762114,683.8900146484375
2025-12-04,138651.70990625222,0.0007311117128343729,0.0007311117128343729,0.0,202.59166109762114,684.3900146484375
2025-12-05,138915.07659263638,0.0018994838690574887,0.0018994838690574887,0.0,202.59166109762114,685.6900024414062
2025-12-08,138497.73826538384,-0.0030042694967974495,-0.0030042694967974495,0.0,202.59166109762114,683.6300048828125
2025-12-09,138378.2037446422,-0.0008630792259769047,-0.0008630792259769047,0.0,202.59166109762114,683.0399780273438
2025-12-10,139295.949904717,0.006632158354710109,0.006632158354710109,0.0,202.59166109762114,687.5700073242188
2025-12-11,139620.09161638774,0.0023270002601831156,0.0023270002601831156,0.0,202.59166109762114,689.1699829101562
2025-12-12,138118.8928483484,-0.010752025375860367,-0.010752025375860367,0.0,202.59166109762114,681.760009765625
2025-12-15,137910.21750211527,-0.001510838538665716,-0.001510838538665716,0.0,202.59166109762114,680.72998046875
2025-12-16,137533.39998012496,-0.00273233940758977,-0.00273233940758977,0.0,202.59166109762114,678.8699951171875
2025-12-17,136020.04620702832,-0.011003536401451068,-0.011003536401451068,0.0,202.59166109762114,671.4000244140625
2025-12-18,137047.1750474052,0.007551304892321173,0.007551304892321173,0.0,202.59166109762114,676.469970703125
2025-12-19,137881.864067124,0.0060905233502993915,0.0060905233502993915,0.0,202.59166109762114,680.5900268554688
2025-12-22,138740.85073174373,0.006229874178387661,0.006229874178387661,0.0,202.59166109762114,684.8300170898438
2025-12-23,139374.96362019636,0.004570484360649389,0.004570484360649389,0.0,202.59166109762114,687.9600219726562
2025-12-24,139865.23197779278,0.003517621421107049,0.003517621421107049,0.0,202.59166109762114,690.3800048828125
2025-12-26,139851.04907769032,-0.0001014040437491408,-0.0001014040437491408,0.0,202.59166109762114,690.3099975585938
2025-12-29,139352.66913991323,-0.003563648189011661,-0.003563648189011661,0.0,202.59166109762114,687.8499755859375
2025-12-30,139182.4990691109,-0.001221146834521502,-0.001221146834521502,0.0,202.59166109762114,687.010009765625
2025-12-31,138151.30207342998,-0.007408955885817795,-0.007408955885817795,0.0,202.59166109762114,681.9199829101562
2026-01-02,138404.541649802,0.0018330596423725735,0.0018330596423725735,0.0,202.59166109762114,683.1699829101562
2026-01-05,139326.33123475345,0.006660110816910933,0.006660110816910933,0.0,202.59166109762114,687.719970703125
2026-01-06,140154.93656933674,0.0059472271123479125,0.0059472271123479125,0.0,202.59166109762114,691.8099975585938
2026-01-07,139703.1611219574,-0.003223400177244788,-0.003223400177244788,0.0,202.59166109762114,689.5800170898438
