Date,ppo_agent,buy_and_hold,moving_average,random
2025-03-31,112200.67366571126,118567.44059435188,107272.53636946795,102618.62343364263
2025-04-01,112200.67366571126,119317.78415197258,107272.53636946795,102618.62343364263
2025-04-02,112200.67366571126,113437.70636168674,107272.53636946795,102618.62343364263
2025-04-03,105526.48073118871,106796.7259703528,107272.53636946795,102618.62343364263
2025-04-04,105338.51922706231,106606.50193265085,107272.53636946795,102333.40550122377
2025-04-07,103688.62499869804,104936.74756800436,107272.53636946795,102231.07209572254
2025-04-08,114577.93200471891,115957.13153486342,107272.53636946795,102231.07209572254
2025-04-09,109557.24192355706,110876.00631335836,107272.53636946795,102231.07209572254
2025-04-10,111512.05176410508,112854.34662584313,107272.53636946795,102231.07209572254
2025-04-11,112593.8804503961,113949.1975197244,107272.53636946795,102231.07209572254
2025-04-14,112278.51863749811,113630.03962797804,107272.53636946795,102231.07209572254
2025-04-15,109782.78808028369,111104.2674183123,107272.53636946795,99858.71782990637
2025-04-16,109939.42372930917,111262.78852477064,107272.53636946795,99758.85911207646
2025-04-17,107322.57078138512,108614.43594778985,107272.53636946795,99758.85911207646
2025-04-21,110114.8612649161,111440.33784021548,107272.53636946795,99758.85911207646
2025-04-22,111821.14203246203,113167.15748110044,107272.53636946795,99758.85911207646
2025-04-23,111709.32089042956,115549.20543563497,107272.53636946795,99758.85911207646
2025-04-24,111709.32089042956,116384.08584307838,107272.53636946795,99758.85911207646
2025-04-25,111709.32089042956,116428.46349657909,107272.53636946795,99697.10061175212
2025-04-28,112300.611063459,117161.89452404297,107272.53636946795,100325.13386703076
2025-04-29,112345.1752935979,117208.38785637336,107272.53636946795,100364.94587083046
2025-04-30,113141.35903788591,118039.0369061574,107272.53636946795,101076.22642373244
2025-05-01,114820.85182212194,119791.23179251792,107272.53636946795,100975.15019730871
2025-05-02,114162.42892355467,119104.3069978651,107272.53636946795,100295.7272680617
2025-05-05,113208.21774830796,118108.78980513367,107272.53636946795,100195.43154079364
2025-05-06,113684.31557101558,118605.49701232486,107272.53636946795,100195.43154079364
2025-05-07,114476.44352521325,119431.91470444955,107272.53636946795,100195.43154079364
2025-05-08,114330.58346452554,119279.74063448026,107272.53636946795,100195.43154079364
2025-05-09,118108.91052486796,123221.62440812266,107272.53636946795,100195.43154079364
2025-05-12,118888.89583922201,124035.37382823056,107272.53636946795,100756.26002230961
2025-05-13,119040.83958504524,124193.8949346889,107272.53636946795,100885.02968960999
2025-05-14,119622.2766631783,124800.50133669771,107688.69644746577,101377.78744480197
2025-05-15,120379.96749724922,125590.99119015974,108370.7996518801,102019.91717571822
2025-05-16,120511.64465783446,125728.3684088019,108489.34063079202,101917.8972585425
2025-05-19,120106.46133563922,125305.64545824632,108124.57860647177,101917.8972585425
2025-05-20,118082.57261970817,123194.14638429809,106302.59407605663,101917.8972585425
2025-05-21,118129.17711010594,123242.76829593883,106344.5492783779,101917.8972585425
